בְּחַיֵּיהֶן,חַיִּים
בְּדִילִין,דִּלְפָה,דִּלְדּוּל,דִּלְדֵּל
מִנְּהוֹן
לְאַפּוֹקֵי,נָפֵק,נְפַק
הֵיכָא,הֵיכָא
דְּמֵחַיִּים,חֲמַם
דְּלָא,דלי
בְּדִילִין,בְּדַל
מִינֵּיהּ,מִן ²
אֵיתִיבֵיהּ,תּוּב I
רַב,רבי
יוֹסֵף,יָסַף
לְרַבָּה,רַב
חֲדָא,חֲדֵי
מִגּוֹ,גֵּו ²,גֵּיוְתָנָא,מִגּוֹ
חֲדָא,חֲדֵי
וַחֲדָא,חֲדֵי
מִגּוֹ,גֵּו ²,מִגּוֹ,גֵּיוְתָנָא
חֲדָא,חֲדֵי
וְכוּלָּן,כּוֹל
אֵין,אֵין
מְטַמְּאִים,טָמֵא I
בְּגָדִים,בֶּגֶד
אַבֵּית,אָבֵי,אָבָה
הַבְּלִיעָה,בְּלִיעָה
וּמוֹעֲלִין,מָעַל
בָּהֶן,ב,ב ²
חוּץ,עִיקּוּר,נִיקּוּר
מֵחַטַּאת,חטי
הָעוֹף,עוֹף ²
שֶׁעָשָׂה,עָשָׂה
לְמַטָּה,מַטָּה
כְּמַעֲשֵׂה,מַעֲשֶׂה
חַטַּאת,חָטָא,חטי
הָעוֹף,עוֹף ²
לְשֵׁם,שָׁם,שֵׁם
חַטָּאת,חָטָא,חטי
וְקָתָנֵי,תני
עִילָּוֵיהּ,עַל ²
כׇּל,כָּל
שֶׁהָיָה,יֵשׁ
פְּסוּלוֹ,פִּסּוּל
בַּקֹּדֶשׁ,קוֹדֶשׁ
אֵינוֹ,אֵין
מְטַמֵּא,טָמֵא I
בְּגָדִים,בֶּגֶד
אַבֵּית,אָבָה,אָבֵי
הַבְּלִיעָה,בְּלִיעָה
וְכׇל,כֹּל
שֶׁלֹּא,לֹא
הָיָה,יֵשׁ
פְּסוּלוֹ,פִּסּוּל
בַּקֹּדֶשׁ,קוֹדֶשׁ
מְטַמֵּא,טָמֵא I
