וְהַלְּבוֹנָה,L00055
וּמִנְחַת,N00533,M01759,N00532
כֹּהֲנִים,K00168
כֹּהֵן,E00648
נְסָכִים,O00918
קִדְּשָׁן,S00192,S00198
וּמִשּׁוּם,U00437,U00435
הַכְּלָל,K00760
מַתִּירִין,V00495,N01393,M03064
כֵּיוָן,J00200,K00298
וּמָה,M00341
וְקׇרְבָּנוֹ,S01885,S01896,S01888
וְיוֹרֵד,J00597
יְהֵא,E00230
אֲלֵהֶם,A01780
בְּכׇל,K00668,E00513
הַכָּתוּב,K01347
יְהוּ
שֶׁיִּקְדַּשׁ,S00192
וְלַד,F00061,F00060
וּתְמוּרַת,V00667
וְשֶׁעִיבְּרָה,P00054,P00060,P00063
וְשֶׁאָבְדָה,A00034,B00112
בַּעֲלַת,P00771
מִשֶּׁכִּיפְּרוּ,K01046
הַבְּעָלִים,B01055
וְיִקְחוּ,L00674
מָעוֹת,P00376
רְאוּיִן
לָבֹא,B00007
שְׁלָמִים,U01348,U01360,U01352,M01199
סְתוּמִין,O01705
דְּמֵי,D00897,D00867
וְנֶאֱכָלִין,A01696
לְיוֹם,L00247,J00195
טְעוּנִין,I00597,I00193
תּוֹרִין,V00275
בַּתְּחִלָּה,V00369
בְּסוֹפוֹ,O00389
נְסָכִין,N00948
בְּסוֹפָן,O01386,O00389
קִדְרוֹן,S00179
לַשִּׁיתִין
תָּנוּ,N01384,V00742
דִּבְרֵי,D00075,D00077,D00478,D00079
כַפָּרָה,K01052,K01048,Q01599,Q01597,Q01598
כְּתוּבִין,K01339
הַבָּאִין,B00007
כְּאֶחָד,A00994
כְתוּבִין,K01339
מְלַמְּדִין,L00565,L00566
הָנִיחָא
וּבִגְדֵי,C00193,B00073,B00074
גְּנִיזָה,C01140
הֶדְיוֹט,E00117
עֲרוּפָה
צָדוֹק,R00092
לוּל,L00267
כֶּבֶשׁ,K00084
לְשִׁבְעִים,U00164
פִּרְחֵי,Q01756,Q01757,Q01755
יוֹרְדִין,J00597
וּמְבִיאִין,B00199
קָרוּשׁ
לְעִגּוּלֵי,P00085
דְבֵילָה,D00068
וְשׂוֹרְפִין,U02007,U02005
בִּקְדוּשָּׁה,S00121
שֶׁנִּיסּוּכָהּ
וּמִדְּרַבָּנַן,D01033
דִּישּׁוּן,D00741
הַפְּנִימִי,Q01201
מְנָלַן,M01793
תְּנֵהוּ,V00742
דָּשֶׁן,D01147,D01148
הַדָּשֶׁן,D01147,D01148
וְהִקְדִּישׁוֹ,S00192
תַעֲשֶׂה,P01466
מִמְּחוּסַּר,H01412
אַבַּעַל,B01053
פִּדְיוֹן,Q00121
בְּעוֹפוֹת,P00316
לָעוֹפוֹת,P00316
וּלְבַסּוֹף
הַמַּקִּיז
לְבֶהֱמַת,B00182
חֲלֵב,H00971,H00968
הַמּוּקְדָּשִׁין,E00789
וּבֵיצֵי,B00679
תוֹרִין,V00275
חֵלֶב,H00971,H00968
וְהַפֶּרֶשׁ,Q02024,E00767,Q02026,Q02021
בַּמֶּה,M00341
חֲמוֹרָה,H01164,H01163,H01165
קְדוּשַּׁת,S00119
כְּשֶׁהִקְדִּישׁ,S00146,S00192
הַגּוּף,C00455
הִקְדִּישׁוֹ,S00192
שׁוֹבָךְ,U00319,U00068,U00312
שֶּׁבְּתוֹכָהּ,V00193
נִתְמַלָּא,M01461
נִתְמַלְּאָה,M01461
יוֹסֵי,J00217
הַשָּׂדֶה,U00261,U00260,U00822
גִּידּוּלֵי,C00181
הֶקְדֵּשׁ,S00195,S00198,S00192
הַמְעוּשֶּׂרֶת,P01503,P01500
יִנַוק,J00446
הַפּוֹעֲלִים,Q00302
גְּרוֹגְרוֹת,C01292
מִכַּרְשִׁינֵי
יִנַק,J00445
הַפּוֹעֲלִין,Q00302
דִּישׁוֹ,D00738
הַדָּשׁ,D01137
קַלְעִילִין,S01400
בִּשְׂדֵה,U00261,U00260,U00822
בָּעִינַן,P00602
שׇׁרְשֵׁי,U02043
בְּשֶׁל,U01197,U00425
וְשֶׁל,U01197,U00425
שֶׁבָּאִין,A01361
מַעְיָן,M02114
מִתּוֹךְ,M03022,V00193
לַשָּׂדֶה,U00261,U00260,U00822
שֶׁבַּכַּד,K00098
נְתָנָן,V00742
נוֹהֲגִין,N00250
בְּלוּלְבֵיהֶן,L00270
בְּשָׁלֹשׁ
לוּגִּין,L00183,L00120
וְהָקָתָנֵי
נְתָנוֹ,N01384
בִּשְׁלֹשֶׁת,U01390
בִּשְׁלֹשָׁה,U01386,U01396
הַמְנַסֵּךְ,N00946
מֵי,M02071,M01597,M01072,M00002,M01774,M01991
בַּחוּץ,H00428
יוֹדָאפָה
בְּשִׁיטַת,U00732,U00878
נִסְכֵּיהֶם
קָאָמַר
לָא,L00006
שֶׁבָּאֲשֵׁירָה,A03355
בְּקָנֶה,S01505
הַחוֹרֶשׁ,H01777,H01778
שֶׁנִּשְׁתַּבְּרָה,U00174
מַצְּלָה,R00483
בְּגִידּוּלִין,C00181
אֲבָהוּ,A00050
יִרְמְיָה,J00647
מוּתָּרִין,N01392
אֲסוּרִין,A01406,A02341,A02336
צְרִיכִין,R00772
הַגִּזְבָּרִים,C00520
בַּשִּׁיפּוּיי,U01717
בַּנְּבִיָּיה
שְׁמוּאֵל,U01427
בּוֹנִין,B00942
בַּחוֹל,H00324
מַקְדִּישִׁין,S00146,S00192
מַקְדֵּשׁ,S00195,S00198,M02384,S00192
אַבִּנְיָן,A00173
לְאוּמָּנִין,A02038
בִּשְׂכָרָן,U01185,U01183,U01184
מוֹתַר,M00707
עוֹשִׂין,P01466
שְׂכַר,U01185,U01184,U01183,U01187,K01072
הָאוּמָּנִין,A02038
וּמְחַלְּלִין,H01078
מְעוֹת,P00376
וְנוֹתְנִין,N01384
לָאוּמָּנִין,A02038
וְחוֹזְרִין,H00560
וְנוֹטְלִין,N00571
כְּשִׁיעוּר,U00991,U01641
מָנֶה,M01726
שֶׁחִילְּלוֹ,H01073
פְּרוּטָה,Q01667
פָּפָּא,Q01399,Q01398
דְּבוֹנִין
הַשָּׁרֵת,N01345,U02049,U02048
הַגִּזְבָּרִין,C00520
בְּמַתְנִיתִין
דְּיוֹמֵיהּ
מִצְטָרְפִין,R00797
דְּקׇדְשֵׁי
וְעוֹלָה,P00772,P00756
ה׳,E00000
הַמְיוּחָדִין,J00268
לַה׳,O01410,L00000
לַבְּעָלִים,B01055
וּמִדְּאוֹרָיְיתָא,A00888,A00896
חֲמִשָּׁה,H01233
בָּעוֹלָה,P00772,P00756
וְהַסּוֹלֶת,O01044
וְהַשֶּׁמֶן,U01500,U01496,U01498
וְשִׁשָּׁה,U00293
בַּתּוֹדָה,V00158
שִׁשָּׁה,U00293
וְלַחְמֵי,H01133,L00363
וְאֵימוּרִים,A01334,A02009
לִכְזַיִת
לְהַעֲלוֹתָן,P00790
